,id,description,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,calculated_host_listings_count,availability_365,interval,host_id_count,properties_owned
10202,7818701,Brooklyn Studio near ALL subways,41162207,Edixon,Brooklyn,Fort Greene,40.68854,-73.97789,Entire home/apt,85,2,4,2017-01-20,1,0,1075.0,1,single
16629,13307480,Peaches Bungalow,74180901,Etta,Manhattan,Washington Heights,40.83791,-73.94075,Entire home/apt,150,1,89,2019-06-18,1,139,196.0,1,single
37854,29961517,Central Park is Next Door ;),2653479,Brian,Manhattan,Upper West Side,40.80004,-73.96088,Private room,50,2,30,2019-07-01,4,6,183.0,1,single
33417,26415648,Stay in this sunny private room near Times Sq 41D3,190921808,John,Manhattan,Hell's Kitchen,40.75564,-73.99564,Private room,65,7,9,2019-05-25,47,326,220.0,10,few
7949,6103774,Studio Apt East Harlem,27289632,Willa,Manhattan,East Harlem,40.79842,-73.93549,Entire home/apt,90,3,138,2019-07-02,1,71,182.0,1,single
43587,33741107,Fresh,216274333,Victoria,Queens,Fresh Meadows,40.72894,-73.78003,Private room,80,1,2,2019-05-25,1,0,220.0,1,single
28473,22084321,"Gorgeous, Sunny LES/Chinatown Apartment",1472745,Melinda,Manhattan,Chinatown,40.71346,-73.99141,Private room,100,2,9,2018-02-09,1,0,690.0,1,single
45288,34652342,Beautiful Room in Manhattan,40632179,Valentina,Manhattan,Harlem,40.82978,-73.94022,Private room,60,1,1,2019-05-16,3,268,229.0,1,single
37924,29993012,Beautiful Large Studio in the heart of Park Slope,23952383,Jean,Brooklyn,Park Slope,40.67117,-73.97836,Entire home/apt,75,29,1,2019-06-14,1,200,200.0,1,single
9364,7174361,2 BEDROOM APT IN MANHATTAN midtown SLEEPS 5 GUESTS,37579015,Ana,Manhattan,Hell's Kitchen,40.75788,-73.99223,Private room,250,2,17,2019-01-06,5,130,359.0,2,few
45535,34813915,"Beauty Apt ,Shared Room in Hell's Kitchen 6",262360035,Kuzey,Manhattan,Hell's Kitchen,40.76558,-73.98785,Shared room,75,1,3,2019-06-30,6,365,184.0,3,few
15839,12812630,Private Room rent temporary stay,69866168,Munnesa,Queens,Jamaica,40.69172,-73.79495,Private room,60,1,109,2017-07-30,1,98,884.0,1,single
39616,30824786,▲Private Cozy Room at Madison Square Garden▲,230574578,Haru,Manhattan,Chelsea,40.74946,-73.99614,Private room,75,2,17,2019-06-24,1,11,190.0,1,single
3187,1903198,Time Square in 30 minutes. Front room.,3158364,Devika,Queens,Sunnyside,40.73673,-73.92526,Private room,45,5,70,2019-06-30,4,250,184.0,1,single
42238,32789884,The livingroom turned bedroom in a 1Br apartment,4361061,Abrm,Queens,Astoria,40.77122,-73.92326,Private room,62,1,7,2019-06-30,2,25,184.0,1,single
10904,8409459,Greenpoint Brooklyn Modern Charm II,43108922,Robbin,Brooklyn,Greenpoint,40.72321,-73.9433,Entire home/apt,150,3,107,2019-06-18,2,277,196.0,1,single
12790,9771893,Irving place -Elevator  Doorman 1 bed - 5152,16098958,Jeremy & Laura,Manhattan,Gramercy,40.73558,-73.9852,Entire home/apt,150,30,1,2017-08-31,96,282,852.0,12,few
19117,15195491,Private Room w/ Private Bath in Heart of Bed-Stuy,33612454,Lucey,Brooklyn,Bedford-Stuyvesant,40.68655,-73.94299,Private room,80,2,106,2019-06-24,1,47,190.0,1,single
20706,16418497,Bright Creative Environment,53611405,Tye,Brooklyn,Williamsburg,40.70542,-73.94957,Private room,117,2,3,2018-08-11,1,285,507.0,1,single
2153,993575,1 BR Large Luxury Furnished Apartment UWS,15145088,Izi,Manhattan,Upper West Side,40.7852,-73.9746,Entire home/apt,187,30,13,2019-06-15,8,346,199.0,1,single
10862,8372368,The Herkimer House  Room #2,27708645,Malik,Brooklyn,Bedford-Stuyvesant,40.67831,-73.93903,Private room,65,3,3,2015-10-13,1,342,1540.0,1,single
4131,2659961,Lovely spacious studio in LES,2319102,Alexandra,Manhattan,Chinatown,40.71675,-73.99092,Entire home/apt,200,2,9,2017-11-04,1,0,787.0,1,single
45375,34710643,Digital Nomad Artist Studio (Cat Lovers Only),8207362,Karina,Brooklyn,Bedford-Stuyvesant,40.68847,-73.93897,Private room,85,2,1,2019-05-18,2,54,227.0,1,single
7702,5823337,Beautiful 2BR Upper West Side,30224326,Matthew,Manhattan,Morningside Heights,40.8063,-73.96268,Entire home/apt,150,7,2,2016-08-11,1,0,1237.0,1,single
17165,13596286,Bright Top-Floor Suite in Park Slope,2768182,Devi,Brooklyn,South Slope,40.66282,-73.98714,Private room,99,7,10,2018-10-09,4,36,448.0,1,single
30323,23437788,Premier Location 2 Blocks to Central Park E. 62nd!,56283770,Lia,Manhattan,Upper East Side,40.76483,-73.96675,Entire home/apt,225,30,1,2018-08-16,6,240,502.0,2,few
25655,20541892,"Lovely Apartment in trendy Astoria, Queens",146677115,Alex,Queens,Astoria,40.76437,-73.91937,Entire home/apt,250,3,3,2018-01-02,1,1,728.0,1,single
28058,21913859,Private room in East Village(Female guest only),34281260,Reese,Manhattan,Stuyvesant Town,40.72734,-73.97203,Private room,65,2,6,2017-12-29,1,0,732.0,1,single
25721,20587567,Cozy Studio Apartment in West Chelsea,4114004,Scott,Manhattan,Chelsea,40.74847,-74.00033,Entire home/apt,154,2,3,2017-12-11,1,0,750.0,1,single
6661,4795390,Cozy Private Room,16151285,Carol,Bronx,Williamsbridge,40.88016,-73.84923,Private room,43,28,15,2019-05-31,4,336,214.0,2,few
21639,17366942,Bedroom + Private Bath Near Central Park & Subways,103960,Nicolle,Manhattan,Harlem,40.80113,-73.95287,Private room,70,4,35,2017-12-09,1,0,752.0,1,single
28722,22206207,Private room with visit to queens #4,158540605,Sonia,Queens,Glendale,40.69916,-73.8892,Private room,25,1,95,2019-07-05,6,258,179.0,1,single
41682,32406935,Bushwick Brooklyn NY Sunny Apartment,131476075,Lakisha,Brooklyn,Bushwick,40.68757,-73.91183,Entire home/apt,166,1,11,2019-06-30,8,177,184.0,4,few
20701,16415910,Clean and spacious private room for your NYC trip!,53850552,Virginia,Manhattan,Harlem,40.82682,-73.95142,Private room,50,6,4,2017-07-29,1,0,885.0,1,single
37051,29457275,Hell's Kitchen Comfy Loft Bedroom (for one person),1710940,Michael,Manhattan,Hell's Kitchen,40.76199,-73.99253,Private room,62,1,59,2019-06-23,1,194,191.0,1,single
25162,20155633,The Emerald of Queens/30 mins from NYC!,126504342,Otto,Queens,Flushing,40.76271,-73.79595,Private room,50,2,74,2019-06-26,1,246,188.0,1,single
5004,3600961,Charming 1 Bed in Trendy Location!,18142696,Morgan,Manhattan,East Village,40.72974,-73.98372,Entire home/apt,160,2,5,2015-08-20,1,0,1594.0,1,single
41187,32040396,Ditmas Park Apartment Share,9124906,Chris,Brooklyn,Flatbush,40.64004,-73.9664,Private room,40,1,1,2019-02-06,1,0,328.0,1,single
30541,23631725,Private Cozy Room,176679165,Sherry,Queens,Corona,40.73917,-73.86362,Private room,40,1,78,2019-06-19,2,69,195.0,1,single
16353,13153395,"Best Value 1,000SF 2BR Classic Brownstone",73400193,Spencer,Brooklyn,Crown Heights,40.67293,-73.95519,Entire home/apt,150,2,141,2019-07-06,1,299,178.0,1,single
18339,14386712,★1000 ft²  designer loft in SOHO - Little Italy★,88329273,Zev,Manhattan,Little Italy,40.71725,-73.99811,Entire home/apt,250,1,180,2019-06-18,1,229,196.0,1,single
17375,13707813,"Harlem Apt, along 1 train",79546891,Brigitte,Manhattan,Harlem,40.82,-73.95331,Private room,59,4,8,2018-07-16,1,0,533.0,1,single
37585,29821998,"Cozy apartment, SubwayEMR7NW, 5mins to Manhattan",52767716,Eden,Queens,Long Island City,40.74836,-73.93833,Private room,95,2,3,2018-12-31,1,0,365.0,1,single
23742,19179558,Sunny Two Bed in Prime Lower East Side/Chinatown:),3801752,Tara,Manhattan,Chinatown,40.71522,-73.99355,Private room,90,1,124,2019-06-23,2,125,191.0,1,single
1515,684991,Terrific NY Studio in Midtown East,3491890,George Steven,Manhattan,Murray Hill,40.74851,-73.97796,Entire home/apt,134,30,9,2018-11-04,6,313,422.0,1,single
15857,12828338,Cozy Chic Harlem Apartment,7159107,Carly,Manhattan,Harlem,40.82563,-73.94091,Entire home/apt,85,3,1,2018-03-14,1,0,657.0,1,single
6634,4784741,Private entrance Private roofdeck NO CLEANING FEE,12374283,Ryan,Manhattan,East Village,40.72333,-73.97948,Private room,125,1,39,2019-07-02,4,0,182.0,1,single
13974,10612067,Beautiful Upper East Side Apartment,24938988,Eli,Manhattan,Upper East Side,40.77032,-73.95268,Entire home/apt,179,1,138,2019-06-16,1,252,198.0,1,single
44415,34209440,Hotel-like Cottage Private Room KING Bed 25min NYC,48684597,David,Queens,Maspeth,40.73763,-73.89533,Private room,50,1,10,2019-07-01,4,218,183.0,1,single
29223,22432497,Convenient PRIVATE ROOM in Brooklyn. Near station!,164303137,Mamiko,Brooklyn,Bedford-Stuyvesant,40.69455,-73.93445,Private room,34,4,35,2019-05-25,2,5,220.0,1,single
9706,7461611,Extraordinary One Bedroom Apartment,28316637,Lisa,Brooklyn,Crown Heights,40.66514,-73.95688,Entire home/apt,185,3,56,2019-06-26,1,333,188.0,1,single
27424,21624567,Cosy warm room in Bay ridge apartment,70915198,Mariya,Brooklyn,Bay Ridge,40.63435,-74.02939,Private room,100,1,3,2019-06-30,1,179,184.0,1,single
22310,18006003,Room in Bronx Little Italy,91261577,Matthew,Bronx,Belmont,40.85311,-73.88763,Private room,29,4,4,2017-08-27,1,0,856.0,1,single
37897,29981718,Beautiful Elite Penthouse,213781715,Anting,Manhattan,NoHo,40.72831,-73.99327,Entire home/apt,179,1,1,2019-05-17,33,348,228.0,2,few
34063,26989977,Beautiful Clinton Hill 1-BR in luxury building,24822059,Jessica,Brooklyn,Clinton Hill,40.68214,-73.96536,Entire home/apt,119,6,2,2018-08-29,1,0,489.0,1,single
32038,25015511,Humble Home in Harlem,159009468,Jay,Manhattan,Harlem,40.81444,-73.94385,Private room,99,7,10,2018-12-24,1,0,372.0,1,single
16030,12963341,PRIME EAST VILLAGE LARGE BEDROOM,4534893,Alex,Manhattan,East Village,40.72501,-73.98776,Private room,150,1,5,2018-11-03,4,121,423.0,1,single
34713,27527902,Cozy 1 bedroom apartment in trendy Bushwick.,101144679,Jorge,Brooklyn,Bushwick,40.6944,-73.9242,Entire home/apt,90,3,26,2019-06-15,1,3,199.0,1,single
35781,28391618,Maspeth Queens Apartment,80478684,Joe,Queens,Maspeth,40.72664,-73.89294,Entire home/apt,150,2,19,2019-07-01,2,309,183.0,1,single
23115,18719762,AMAZING HOUSE 3 Bedrooms 3 Bathrooms.,52084781,Ms. George,Queens,Glendale,40.69252,-73.89533,Entire home/apt,150,3,22,2019-06-23,1,292,191.0,1,single
43255,33544651,Sun Lit Room in Ridgewood/Bushwick 25 mins to NYC,135280693,John,Queens,Ridgewood,40.70811,-73.91054,Private room,60,3,3,2019-06-01,2,264,213.0,1,single
11547,8986585,Williamsburg Two Bedroom/Two Bath,46946480,Danielle,Brooklyn,Williamsburg,40.71223,-73.94864,Entire home/apt,275,3,51,2017-12-03,1,0,758.0,1,single
20827,16493084,Bedroom (KING) & private bath - Brand New & Modern,7427325,Jenia,Manhattan,Hell's Kitchen,40.76548,-73.99374,Private room,200,1,20,2017-06-29,2,0,915.0,1,single
24403,19650084,Simple private bedroom in house apartment,61308650,Elan,Brooklyn,Cypress Hills,40.68244,-73.89489,Private room,29,1,51,2019-06-01,1,16,213.0,1,single
36724,29184026,Lava Bedroom,119669058,Melissa,Brooklyn,Bedford-Stuyvesant,40.69366,-73.95563,Private room,65,2,7,2019-06-22,34,285,192.0,6,few
28826,22250271,"Cute, Comfy & Cozy Room in Brooklyn",57034140,Alicia,Brooklyn,Bedford-Stuyvesant,40.69338,-73.93125,Private room,65,4,3,2018-03-24,1,0,647.0,1,single
25787,20635939,Studio Deluxe 2- Wyndham Midtown 45,145801588,Aaron,Manhattan,Midtown,40.75328,-73.97193,Private room,389,3,2,2017-10-20,4,357,802.0,1,single
5623,4091629,"DO DROP IN, LLC",21222224,Erica,Brooklyn,Bedford-Stuyvesant,40.68387,-73.95373,Entire home/apt,150,5,14,2017-12-27,2,363,734.0,1,single
47950,36000376,★★ 4Br 2Ba Getaway in Chelsea ★★,268449136,Alexandra & William,Manhattan,Chelsea,40.74263,-74.00234,Entire home/apt,800,3,1,2019-07-01,1,345,183.0,1,single
24901,19963733,"Prewar duplex, 3 bedrooms, minutes from everything",93355703,Katherine,Brooklyn,Brooklyn Heights,40.69677,-73.99599,Entire home/apt,585,3,10,2019-02-18,1,225,316.0,1,single
43393,33632312,"Comfortable,spacious and luxurious homely settings",184472924,Odaine,Brooklyn,East New York,40.6633,-73.89733,Entire home/apt,140,2,7,2019-06-09,1,157,205.0,1,single
1754,794156,Lincoln Center  luxury condo,58366,Linna,Manhattan,Upper West Side,40.77445,-73.98496,Entire home/apt,210,30,48,2019-01-03,1,36,362.0,1,single
30893,23921983,Private Studio in charming Tudor style home.,165257273,Soon,Queens,Flushing,40.77193,-73.79966,Private room,50,30,5,2019-06-06,3,296,208.0,1,single
33107,26126894,2+1 Bedroom Apartment Upper West Side,17444700,Andrés,Manhattan,Morningside Heights,40.80724,-73.96677,Entire home/apt,250,7,4,2019-06-29,1,4,185.0,1,single
25608,20499692,Spacious Chelsea Condo MUST SEE,146348944,Pieter,Manhattan,Chelsea,40.74283,-73.99843,Entire home/apt,245,5,48,2019-06-18,1,46,196.0,1,single
10524,8071607,Lovely duplex in Williamsburg,22470446,Louise,Brooklyn,Williamsburg,40.70803,-73.94868,Private room,45,3,2,2015-10-11,1,0,1542.0,1,single
5108,3673938,Affordable long stay room for individual,4578923,Normandy,Brooklyn,Bedford-Stuyvesant,40.69437,-73.95841,Private room,50,5,18,2019-05-19,1,0,226.0,1,single
37001,29416543,Asshur’s Room,49664763,Asshur,Brooklyn,East Flatbush,40.66098,-73.92382,Private room,77,1,1,2018-11-08,1,0,418.0,1,single
37398,29680105,1 Private Room in West Harlem,137380710,Bruce,Manhattan,Harlem,40.82723,-73.94217,Private room,40,5,1,2019-02-18,1,0,316.0,1,single
25778,20624541,Modern apartment in the heart of Williamsburg,10132166,Aymeric,Brooklyn,Williamsburg,40.70838,-73.94645,Entire home/apt,0,5,3,2018-01-02,1,73,728.0,1,single
17538,13794822,Cozy room in 2BR apartment - Greenpoint,5574626,Jana,Brooklyn,Greenpoint,40.72325,-73.9432,Private room,59,4,1,2016-08-02,1,0,1246.0,1,single
5884,4288276,"New Apt near Central Park, Broadway, Museums",3750547,Angela,Manhattan,Upper East Side,40.76051,-73.96083,Entire home/apt,145,3,62,2019-05-28,1,50,217.0,1,single
5697,4145494,Very Sunny Private Room with Bath,21505913,Geri,Brooklyn,Crown Heights,40.67205,-73.95092,Private room,90,12,24,2017-06-19,1,64,925.0,1,single
13936,10561771,La Casa Azul,30356325,Joel,Manhattan,Harlem,40.80734,-73.94666,Entire home/apt,70,2,4,2016-04-11,1,0,1359.0,1,single
36331,28911697,Cozy Artist Room,70230403,Sonya,Brooklyn,Bushwick,40.69677,-73.92688,Private room,57,1,1,2018-10-22,1,0,435.0,1,single
42908,33316690,THIES IN HARLEM .,250969026,Cheikh,Manhattan,Harlem,40.81323,-73.9422,Entire home/apt,165,1,8,2019-06-23,1,53,191.0,1,single
20540,16338348,Entire 1 Bedroom Apt with Great Light & Vibes :),106951556,Meli And Daniel,Manhattan,Chinatown,40.71489,-73.99438,Entire home/apt,129,7,11,2018-10-30,1,188,427.0,1,single
18056,14139553,CUTE STUDIO ON UPPER EAST SIDE @ CENTRAL PARK,9293730,Inna,Manhattan,Upper East Side,40.77007,-73.9569,Entire home/apt,119,30,12,2019-06-11,16,339,203.0,3,few
1100,466277,"W'burg 2 bedroom w/ yard & laundry, 5 mins to L",815977,Ryan,Brooklyn,Williamsburg,40.7111,-73.94643,Entire home/apt,235,3,108,2019-07-02,2,144,182.0,1,single
8283,6373770,Huge private bedroom for quiet sleep in Manhattan!,3867,Luke,Manhattan,Two Bridges,40.71213,-73.99661,Private room,95,1,92,2019-06-29,2,47,185.0,1,single
23841,19244710,Spacious & Cozy 1BR Apartment in Brownstone Bldg,20283471,Ramy,Brooklyn,Bedford-Stuyvesant,40.6802,-73.93315,Entire home/apt,130,1,3,2017-06-26,1,0,918.0,1,single
6401,4661135,SUNNY GUEST BDRM in Fort Greene!,3175065,Taya,Brooklyn,Fort Greene,40.69207,-73.97407,Private room,70,14,18,2019-06-30,1,128,184.0,1,single
1334,585491,Beautiful Modern Apt in Brooklyn,2886652,Kanan & Tobias,Brooklyn,Crown Heights,40.6806,-73.96317,Entire home/apt,195,2,160,2019-06-18,1,255,196.0,1,single
12591,9679337,Huge private room in the heart of Williamsburg,4369380,Emmanuel,Brooklyn,Williamsburg,40.71436,-73.95421,Private room,46,3,11,2017-05-22,1,0,953.0,1,single
14504,11422056,Lovely & Cozy Apartment in Queens!,59996301,Joseph,Queens,Maspeth,40.7416,-73.90684,Entire home/apt,120,3,88,2019-06-19,1,303,195.0,1,single
17307,13670109,Cute Studio in the heart of East Village !,59938558,Thomas,Manhattan,East Village,40.72735,-73.98739,Entire home/apt,120,3,4,2016-10-09,1,0,1178.0,1,single
47937,35996222,Stylish 2 Beds Apartment with Private Parking,270796745,Sonia,Bronx,Allerton,40.86886,-73.84915,Entire home/apt,140,2,1,2019-06-30,1,175,184.0,1,single
47954,36001307,1 Large Apartment in Williamsburg,270845109,Sarah,Brooklyn,Williamsburg,40.71336,-73.95865,Entire home/apt,150,5,1,2019-06-28,1,327,186.0,1,single
7788,5913433,Spacious apartment in Greenpoint,30710562,Tim,Brooklyn,Greenpoint,40.7229,-73.94775,Entire home/apt,125,2,5,2015-10-12,1,0,1541.0,1,single
14633,11553908,Comfy 1 bedroom Upper East Side Apartment (82/2nd),61003876,Darren,Manhattan,Upper East Side,40.77505,-73.95357,Entire home/apt,150,1,3,2018-03-19,1,0,652.0,1,single
4876,3479639,Designer's duplex loft with 16' ceilings,17527788,Taylor,Brooklyn,Bushwick,40.69642,-73.93361,Entire home/apt,144,1,51,2019-06-15,2,85,199.0,1,single
35924,28538946,Spacious & Bright 1 Bedroom Refuge in the Big City,904138,Paul,Queens,Astoria,40.76214,-73.92148,Entire home/apt,150,6,1,2019-04-07,1,0,268.0,1,single
34961,27714862,Newly Renovated Brooklyn Brownstone - Private,5354200,Chantal,Brooklyn,Bedford-Stuyvesant,40.68737,-73.93478,Entire home/apt,125,1,68,2019-07-03,1,261,181.0,1,single
1471,658366,HEART OF NYC! Sunny furn 1 br wifi,3319410,Dawn,Manhattan,Gramercy,40.73354,-73.98593,Entire home/apt,127,3,182,2019-06-23,1,264,191.0,1,single
15430,12366762,Bergen Beach 3 or 4 Bedrooms 2 bath,66810906,Carmen,Brooklyn,Bergen Beach,40.6235,-73.91056,Entire home/apt,235,4,32,2019-06-11,1,322,203.0,1,single
9205,7038801,Private room in the best part of BK,36907706,Brad,Brooklyn,Crown Heights,40.66743,-73.94712,Private room,58,7,49,2019-06-01,1,81,213.0,1,single
11679,9092024,Enjoy a Private Room in SoHo,47406119,Jacqueline,Manhattan,SoHo,40.72558,-74.00195,Private room,145,2,1,2015-10-27,1,0,1526.0,1,single
182,45936,Couldn't Be Closer To Columbia Uni,867225,Rahul,Manhattan,Morningside Heights,40.80549,-73.95924,Private room,99,4,122,2019-05-14,2,233,231.0,1,single
38840,30401429,Lovely room in convenient location. J/M & L trains,58344344,Julie,Brooklyn,Bushwick,40.70089,-73.93903,Private room,51,1,33,2019-06-28,1,19,186.0,1,single
4573,3191925,Art Room + Backyard in Williamsburg,3772684,Glasshouse,Brooklyn,Williamsburg,40.70667,-73.94921,Private room,99,3,22,2017-09-04,2,11,848.0,2,few
46086,35065615,downtown brooklyn dream stay,90112329,Sandra,Brooklyn,Downtown Brooklyn,40.69791,-73.98381,Entire home/apt,279,4,1,2019-06-24,1,23,190.0,1,single
24041,19383510,Prime Williamsburg Location- Few Steps to Subway,14398102,Elisa-Beth,Brooklyn,Williamsburg,40.71487,-73.94524,Private room,49,5,1,2019-02-26,1,33,308.0,1,single
40961,31864884,Elegant &Classical. 30 mins to midtown  Manhattan!,56403037,Jane,Queens,Woodhaven,40.68793,-73.84975,Private room,42,1,16,2019-06-24,3,121,190.0,1,single
1007,408983,Brooklyn Brownstone full floor/garden ProspectPark,520189,Andre,Brooklyn,Prospect-Lefferts Gardens,40.65937,-73.95906,Entire home/apt,229,2,92,2019-06-09,1,321,205.0,1,single
4272,2823023,"Cozy One Bedroom + Loft in Manhattan, NYC",14441566,Paula,Manhattan,Midtown,40.76147,-73.9761,Entire home/apt,200,4,7,2019-06-24,1,32,190.0,1,single
2180,1016105,BK - Spacious & Sunny 4 bedroom apartment,5591685,Paul,Brooklyn,Clinton Hill,40.68924,-73.9681,Entire home/apt,200,7,10,2018-08-19,1,11,499.0,1,single
33701,26708055,2 BR - Manhattan Upper West Side - Bright & Quiet,145237476,Margaux,Manhattan,Upper West Side,40.79782,-73.97179,Entire home/apt,195,2,1,2019-01-01,1,3,364.0,1,single
29911,23024656,Harlem cozy nights,43495748,Catherine,Manhattan,Harlem,40.81767,-73.93771,Entire home/apt,120,4,21,2019-07-01,1,128,183.0,1,single
25510,20417878,Simple Room in Heart of Crown Heights (Women Only),102347748,Mana,Brooklyn,Crown Heights,40.67061,-73.93151,Private room,38,2,112,2019-06-02,1,5,212.0,1,single
43926,33945711,Brand New Luxury 2 Bed Condo in East Williamsburg!,256341094,David,Brooklyn,Bushwick,40.6991,-73.92917,Entire home/apt,249,6,4,2019-07-01,2,177,183.0,1,single
35082,27814780,Williamsburg duplex apartment with backyard,67913256,Onyuka,Brooklyn,Williamsburg,40.71475,-73.94913,Private room,75,1,5,2019-05-06,1,55,239.0,1,single
8002,6161282,Loft in Williamsburg,31963371,Rajan,Brooklyn,Williamsburg,40.71014,-73.96253,Entire home/apt,275,3,78,2018-11-08,1,0,418.0,1,single
26932,21332241,"Bushwick Garden Flat (Brooklyn, NY)",1257048,Esther,Brooklyn,Bushwick,40.68624,-73.9122,Entire home/apt,150,3,54,2019-06-16,1,59,198.0,1,single
23795,19212378,Gorgeous private room with private bathroom.,133785513,Alena,Brooklyn,Bedford-Stuyvesant,40.6921,-73.93746,Private room,110,1,150,2019-07-03,4,85,181.0,1,single
42295,32828305,2 - Private room in Yogi's BIG Midtown Manhattan,25059364,Yogi,Manhattan,Kips Bay,40.74138,-73.98168,Private room,115,1,19,2019-06-23,3,37,191.0,1,single
18952,15053143,Gigantic 2-Story Skylight Loft—2 Blocks To Subway,8726843,Adam,Manhattan,East Harlem,40.79577,-73.9362,Entire home/apt,350,3,85,2019-07-01,1,175,183.0,1,single
3194,1907058,PRIVATE ROOM #2 STARTING AT $67 PER NIGHT,9898029,Anthony,Brooklyn,East Flatbush,40.64913,-73.92525,Private room,67,5,17,2018-09-23,5,308,464.0,1,single
36897,29332195,"Cozy, Zen Studio. Prime Williamsburg location!!!",220969093,Giselle & Charles,Brooklyn,Greenpoint,40.71958,-73.95247,Entire home/apt,99,2,26,2019-06-27,1,145,187.0,1,single
46323,35196099,Ornate cozy Victorian studio at Central Park,118013873,Frances,Manhattan,Upper West Side,40.80103,-73.9706,Entire home/apt,150,6,2,2019-07-07,1,69,177.0,1,single
38742,30391061,Travelers Delight - Minutes from JFK and MTA,228207777,Marie,Queens,Springfield Gardens,40.66784,-73.75357,Entire home/apt,150,1,4,2019-05-15,1,162,230.0,1,single
40801,31683919,Huge sunny room with private bath,49539959,Alex,Brooklyn,Crown Heights,40.67375,-73.91242,Private room,50,30,5,2019-03-31,2,0,275.0,1,single
21236,16860541,Large Bedroom Apartment with  a Private Bathroom,42993745,Paul,Manhattan,Upper East Side,40.77659,-73.95407,Private room,130,3,18,2018-12-15,2,0,381.0,1,single
24560,19749379,Great Luxury Condo Studio Apt,39469408,Ron And Khine,Queens,Rego Park,40.73268,-73.85952,Entire home/apt,135,3,5,2017-09-04,1,0,848.0,1,single
36717,29183204,Brand new private room in new building w Roofdeck,54677106,Alan,Brooklyn,Bedford-Stuyvesant,40.6797,-73.94084,Private room,41,1,6,2019-03-17,2,0,289.0,1,single
23701,19161510,Affordable and functional room,3788839,Lorenzo & Alex,Brooklyn,Bedford-Stuyvesant,40.68468,-73.92408,Private room,45,28,10,2019-05-27,4,310,218.0,1,single
20502,16325781,Room at Home in Lower East Side,3173147,Andrea,Manhattan,Lower East Side,40.71833,-73.98556,Private room,95,4,15,2019-06-25,2,244,189.0,1,single
28442,22073638,Large Studio in Manhattan Close to Everything!,135257383,Brian,Manhattan,Harlem,40.82771,-73.94699,Entire home/apt,80,5,1,2018-01-02,1,0,728.0,1,single
45370,34707625,Dikeman comfort is a very special Airbnb !!!!,261779182,Torrey,Brooklyn,Red Hook,40.67522,-74.01139,Shared room,38,1,1,2019-06-26,2,179,188.0,1,single
8984,6898600,Bright cozy apartment,32775769,Remigijus,Brooklyn,Midwood,40.61679,-73.95521,Entire home/apt,89,7,5,2019-01-05,1,251,360.0,1,single
22852,18505453,Studio Apartment in UWS,90846964,Allison,Manhattan,Upper West Side,40.79264,-73.97481,Entire home/apt,99,1,7,2017-05-28,1,0,947.0,1,single
47281,35672836,Times Square NYC,241985816,Carlos,Queens,Astoria,40.76847,-73.90852,Private room,100,1,1,2019-06-27,3,89,187.0,1,single
1741,786955,West Village - Gorgeous Studio Apt.,4148114,Dawn,Manhattan,West Village,40.73403,-74.00298,Entire home/apt,210,1,108,2019-07-02,1,305,182.0,1,single
31632,24644837,Bushwick Awesome Apartment - 2,9864136,Anthony,Brooklyn,Bushwick,40.68608,-73.914,Entire home/apt,121,30,1,2018-04-29,26,31,611.0,4,few
46326,35196787,Great Astoria Apartment,40436170,Robert,Queens,Astoria,40.76728,-73.90781,Entire home/apt,95,1,5,2019-07-07,1,65,177.0,1,single
19049,15131952,1 Bedroom in a shared space with  AC & garden.,50546859,Maria,Brooklyn,Bushwick,40.68342,-73.90993,Private room,80,1,19,2019-06-30,1,88,184.0,1,single
36480,28994671,한성 韓城 Han A (2FL),92706260,Kane,Queens,Flushing,40.76126,-73.81549,Private room,48,1,35,2019-07-01,5,79,183.0,3,few
22021,17716205,Brand new studio in high rise,26980460,Joe,Brooklyn,Downtown Brooklyn,40.69383,-73.98539,Entire home/apt,180,14,1,2018-09-17,1,0,470.0,1,single
17672,13883393,One Bedroom Apartment- Only 15 min to Time Square!,82179512,Mingmar,Queens,Woodside,40.74399,-73.89817,Entire home/apt,87,1,162,2019-06-23,1,332,191.0,1,single
15461,12396603,Dean Street Oasis,20942935,Miriam,Brooklyn,Crown Heights,40.67529,-73.93671,Private room,66,1,1,2016-05-02,1,0,1338.0,1,single
9265,7084130,Large Sunny Private Room,22095455,Danni,Manhattan,Civic Center,40.71674,-74.00334,Private room,100,5,1,2015-08-03,1,0,1611.0,1,single
19097,15179994,"BEAUTIFUL ROOM & PRIVATE BATHROOM...QUEENS, NY",10973901,Michelle,Queens,Kew Gardens Hills,40.71785,-73.82066,Private room,76,2,23,2019-06-18,1,178,196.0,1,single
34896,27670819,"Large BR in beautiful 2BR artist loft, best of NYC",112545065,Diana,Brooklyn,Bushwick,40.69898,-73.92266,Private room,50,7,1,2019-05-24,2,55,221.0,1,single
41502,32260853,Room in Williamsburg w/ private full bathroom,80354349,Luke,Brooklyn,Williamsburg,40.7079,-73.94608,Private room,75,2,2,2019-05-06,1,188,239.0,1,single
36076,28666578,Large Cozy Bedroom 10 mins from Times Sq. 33C3,190921808,John,Manhattan,Hell's Kitchen,40.75584,-73.99559,Private room,120,7,4,2019-04-16,47,365,259.0,10,few
